LAPORAN NILAI BARANG

Tanggal Cetak,22 Dec 18
Jumlah SKU ,12
Jumlah Total Barang ,1073
Total Nilai,Rp 71263000

SKU,Nama Item,Jumlah,Harga Beli,Total
SSI-D00791015-LL-BWH,"Zalekia Plain Casual Blouse (L,Broken White)",154,Rp 74000,Rp 11396000
SSI-D00791077-MM-BWH,"Zalekia Plain Casual Blouse (M,Broken White)",154,Rp 67000,Rp 10318000
SSI-D00791091-XL-BWH,"Zalekia Plain Casual Blouse (XL,Broken White)",154,Rp 61000,Rp 9394000
SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",97,Rp 70000,Rp 6790000
SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",2,Rp 67000,Rp 134000
SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (L,Navy)",13,Rp 67000,Rp 871000
SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",54,Rp 71000,Rp 3834000
SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",121,Rp 67000,Rp 8107000
SSI-D01220334-XL-YEL,"Devibav Plain Trump Blouse (XL,Yellow)",110,Rp 61000,Rp 6710000
SSI-D01220338-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",65,Rp 70000,Rp 4550000
SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",73,Rp 63000,Rp 4599000
SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",76,Rp 60000,Rp 4560000
